,condition,initial_tempo,note_duration,melodic_interval,motion_direction,strongest_pitch,pitches_classes,importance_bass,importance_middle,importance_height
0,christmas,120.0,0.7928571428571428,1.9411764705882353,0.48,1,"[0.6363636363636364, 0.0, 0.36363636363636365, 0.09090909090909091, 0.0, 0.18181818181818182, 0.0, 1.0, 0.7272727272727273, 0.0, 0.18181818181818182, 0.0]",0.0,0.9428571428571428,0.05714285714285714
1,christmas,120.0,0.6808510638297872,1.826086956521739,0.5333333333333333,1,"[0.0, 0.0, 0.125, 0.0625, 0.0, 0.25, 0.0, 0.5625, 0.0, 0.9375, 1.0, 0.0]",0.14893617021276595,0.851063829787234,0.0
2,christmas,120.0,0.8255813953488372,3.15625,0.4482758620689655,4,"[0.0, 0.3333333333333333, 0.7777777777777777, 0.0, 0.3333333333333333, 0.0, 1.0, 0.4444444444444444, 0.0, 0.5555555555555556, 0.0, 0.4444444444444444]",0.5714285714285714,0.42857142857142855,0.0
3,christmas,120.0,0.9069767441860465,2.3095238095238093,0.4411764705882353,1,"[0.23076923076923078, 0.0, 0.8461538461538463, 1.0, 0.0, 0.8461538461538463, 0.0, 0.3076923076923077, 0.0, 0.0, 0.07692307692307693, 0.0]",0.0,1.0,0.0
4,christmas,120.0,0.7241379310344828,2.769230769230769,0.5217391304347826,7,"[0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 1.0, 0.0, 0.8333333333333333, 0.0, 0.8333333333333333]",0.034482758620689655,0.9655172413793104,0.0
5,christmas,120.0,0.5129310344827587,8.5,0.4166666666666667,4,"[1.0, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 1.0, 0.7142857142857142, 0.0, 0.8571428571428571, 0.0, 1.0, 0.14285714285714285, 0.2857142857142857]",0.025,0.9,0.075
6,christmas,120.0,0.48035714285714287,2.8153846153846156,0.3888888888888889,3,"[0.21052631578947367, 0.0, 0.5263157894736842, 0.15789473684210525, 0.0, 0.5263157894736842, 0.0, 1.0, 0.0, 0.631578947368421, 0.7368421052631579, 0.0]",0.3611111111111111,0.6388888888888888,0.0
7,christmas,120.0,0.6417910447761194,2.5,0.5,2,"[0.4444444444444444, 0.0, 0.2777777777777778, 0.0, 0.05555555555555555, 0.0, 0.2777777777777778, 0.5555555555555556, 0.1111111111111111, 1.0, 0.0, 0.8888888888888888]",0.0,0.9230769230769231,0.07692307692307693
8,christmas,120.0,0.47368421052631576,2.4444444444444446,0.5333333333333333,4,"[0.0, 0.0, 0.8571428571428571, 0.0, 0.42857142857142855, 0.14285714285714285, 1.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0]",0.0,1.0,0.0
9,christmas,120.0,0.4852941176470588,2.625,0.5,7,"[0.75, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.25, 0.0, 1.0, 0.25, 0.0]",0.0,0.7058823529411765,0.29411764705882354
10,christmas,120.0,1.0,3.2875,0.4411764705882353,2,"[0.0, 0.08695652173913043, 0.6521739130434783, 0.0, 1.0, 0.0, 0.6956521739130435, 0.0, 0.43478260869565216, 0.21739130434782608, 0.0, 0.5217391304347826]",0.0,0.963855421686747,0.03614457831325301
11,christmas,120.0,1.0793650793650793,2.262295081967213,0.4888888888888889,1,"[0.4375, 0.0, 0.6875, 0.0, 0.1875, 0.4375, 0.0, 0.5, 0.0, 0.75, 1.0, 0.0]",0.0,0.84375,0.15625
12,christmas,120.0,0.625,2.310344827586207,0.4,2,"[0.18181818181818182, 0.0, 0.09090909090909091, 0.0, 0.36363636363636365, 0.0, 0.18181818181818182, 1.0, 0.0, 0.5454545454545454, 0.0, 0.36363636363636365]",0.0,1.0,0.0
13,christmas,120.0,0.6046511627906976,2.5714285714285716,0.4444444444444444,1,"[0.0, 0.6363636363636364, 0.0, 0.36363636363636365, 0.2727272727272727, 0.0, 0.18181818181818182, 0.0, 0.8181818181818182, 1.0, 0.0, 0.6363636363636364]",0.0,0.6976744186046512,0.3023255813953488
14,christmas,120.0,0.9324324324324325,1.8888888888888888,0.5,2,"[0.125, 0.0, 0.0625, 0.0, 0.0, 0.25, 0.0, 0.6875, 0.0, 1.0, 0.0, 0.1875]",0.13513513513513514,0.8648648648648649,0.0
15,christmas,120.0,0.4107142857142857,2.327272727272727,0.38461538461538464,10,"[1.0, 0.0, 0.5555555555555556, 0.0, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.2777777777777778, 0.611111111111111, 0.0]",0.05357142857142857,0.9464285714285714,0.0
16,christmas,120.0,1.030612244897959,1.6041666666666667,0.5428571428571428,2,"[0.0, 0.4117647058823529, 1.0, 0.0, 0.9411764705882353, 0.0, 0.1764705882352941, 0.23529411764705882, 0.0, 0.0, 0.0, 0.11764705882352941]",0.0,1.0,0.0
17,christmas,120.0,0.5714285714285714,2.3902439024390243,0.5,2,"[0.5555555555555556, 0.0, 0.2222222222222222, 0.0, 0.7777777777777777, 0.0, 0.6666666666666666, 0.5555555555555556, 0.0, 1.0, 0.0, 0.8888888888888888]",0.0,0.9047619047619048,0.09523809523809523
18,christmas,120.0,0.4605263157894737,7.0,0.5333333333333333,2,"[0.5, 0.0, 0.5, 0.0, 0.8333333333333333, 0.0, 1.0, 0.8333333333333333, 0.0, 0.6666666666666666, 0.0, 0.8333333333333333]",0.41935483870967744,0.5806451612903226,0.0
19,christmas,120.0,0.6764705882352942,1.9375,0.5384615384615384,1,"[0.2857142857142857, 0.0, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.0, 0.2857142857142857, 0.0, 0.5714285714285714, 1.0, 0.0]",0.0,0.9411764705882353,0.058823529411764705
20,christmas,120.0,0.403125,1.3529411764705883,0.45454545454545453,3,"[0.0, 0.4, 0.4, 0.0, 1.0, 0.2, 0.6000000000000001, 1.0, 0.0, 0.4, 0.0, 0.0]",0.0,0.95,0.05
21,christmas,120.0,0.8980582524271845,1.8571428571428572,0.5,4,"[0.0, 0.16666666666666666, 0.8333333333333333, 0.0, 0.8333333333333333, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.3333333333333333]",0.0,1.0,0.0
22,christmas,120.0,0.6774193548387096,2.963636363636364,0.46511627906976744,7,"[0.6666666666666666, 0.0, 0.9166666666666666, 0.0, 0.25, 0.41666666666666663, 0.25, 0.75, 0.08333333333333333, 1.0, 0.0, 0.5]",0.5,0.5,0.0
23,christmas,120.0,0.5416666666666666,3.28125,0.5172413793103449,1,"[0.375, 0.0, 0.75, 0.0, 0.25, 0.0, 0.875, 1.0, 0.0, 0.75, 0.0, 0.625]",0.40540540540540543,0.5945945945945946,0.0
24,christmas,120.0,0.4148936170212766,1.7555555555555555,0.5,1,"[0.5384615384615385, 0.0, 0.07692307692307693, 0.0, 0.15384615384615385, 0.0, 0.6923076923076923, 1.0, 0.0, 0.46153846153846156, 0.0, 0.6153846153846154]",0.0,0.9782608695652174,0.021739130434782608
25,christmas,120.0,0.3693820224719101,3.2025316455696204,0.4426229508196721,1,"[0.6842105263157894, 0.0, 0.2631578947368421, 0.3157894736842105, 0.0, 0.6842105263157894, 0.0, 0.631578947368421, 0.0, 0.7368421052631579, 1.0, 0.0]",0.3048780487804878,0.6951219512195121,0.0
26,christmas,120.0,0.49038461538461536,2.2266666666666666,0.4067796610169492,2,"[0.0, 0.6842105263157894, 0.21052631578947367, 0.0, 0.21052631578947367, 0.0, 0.2631578947368421, 0.0, 0.631578947368421, 1.0, 0.0, 1.0]",0.0,0.7894736842105263,0.21052631578947367
27,christmas,120.0,0.6226415094339622,2.2884615384615383,0.47368421052631576,3,"[0.0, 0.3571428571428571, 0.14285714285714285, 0.0, 0.42857142857142855, 0.0, 0.14285714285714285, 0.0, 0.9285714285714285, 0.7857142857142857, 0.0, 1.0]",0.1509433962264151,0.8490566037735849,0.0
28,christmas,120.0,0.5010964912280702,2.3035714285714284,0.4666666666666667,4,"[1.0, 0.0, 0.5454545454545454, 0.0, 1.0, 0.6363636363636364, 0.0, 0.8181818181818182, 0.0, 0.36363636363636365, 0.8181818181818182, 0.0]",0.0,0.9473684210526315,0.05263157894736842
29,christmas,120.0,0.7180851063829787,2.2444444444444445,0.5277777777777778,7,"[0.9, 0.0, 0.6000000000000001, 0.1, 0.0, 0.2, 0.0, 1.0, 0.9, 0.1, 0.8, 0.0]",0.0,0.8695652173913043,0.13043478260869565
